model_id,field_id,value,unit,source_name,source_url,observed_at,curated_at,confidence,status,notes,lock_mode
openai:gpt-5.6-sol,coding_score,,percent,,,,2026-09-07,,verified,MISSING,PREFERRED
openai:gpt-5.6-sol,latency_seconds,,seconds_to_first_token,,,,2026-09-07,,verified,MISSING,PREFERRED
openai:gpt-5.6-sol,tokens_per_second,,tokens_per_second,,,,2026-09-07,,verified,MISSING,PREFERRED
openai:gpt-5.6-terra,coding_score,,percent,,,,2026-09-07,,verified,MISSING,PREFERRED
openai:gpt-5.6-terra,latency_seconds,,seconds_to_first_token,,,,2026-09-07,,verified,MISSING,PREFERRED
openai:gpt-5.6-terra,tokens_per_second,,tokens_per_second,,,,2026-09-07,,verified,MISSING,PREFERRED
openai:gpt-5.6-luna,coding_score,,percent,,,,2026-09-07,,verified,MISSING,PREFERRED
openai:gpt-5.6-luna,latency_seconds,,seconds_to_first_token,,,,2026-09-07,,verified,MISSING,PREFERRED
openai:gpt-5.6-luna,tokens_per_second,,tokens_per_second,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-fable-5,coding_score,,percent,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-fable-5,intelligence_score,,index_score,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-fable-5,latency_seconds,,seconds_to_first_token,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-fable-5,reasoning_score,,percent,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-fable-5,tokens_per_second,,tokens_per_second,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-opus-5,coding_score,,percent,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-opus-5,intelligence_score,,index_score,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-opus-5,latency_seconds,,seconds_to_first_token,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-opus-5,reasoning_score,,percent,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-opus-5,tokens_per_second,,tokens_per_second,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-sonnet-5,coding_score,,percent,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-sonnet-5,intelligence_score,,index_score,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-sonnet-5,latency_seconds,,seconds_to_first_token,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-sonnet-5,reasoning_score,,percent,,,,2026-09-07,,verified,MISSING,PREFERRED
anthropic:claude-sonnet-5,tokens_per_second,,tokens_per_second,,,,2026-09-07,,verified,MISSING,PREFERRED
