model_id,model_name,provider,release_date,release_date_source,input_price,input_price_source,input_price_status,output_price,output_price_source,output_price_status,intelligence_score,intelligence_source,intelligence_status,reasoning_score,reasoning_source,reasoning_status,coding_score,coding_source,coding_status,tokens_per_second,speed_source,speed_status,latency,latency_source,latency_status,context_window,context_source,context_status,open_weight,open_weight_source,parameter_count,parameter_count_source,overall_coverage,manual_research_needed
openai:gpt-5.6-sol,GPT-5.6 Sol,OpenAI,2026-07-09,OpenAI model documentation,4.0,OpenAI model documentation,FRESH,20.0,OpenAI model documentation,FRESH,58.9,OpenAI GPT-5.6 launch table,FRESH,52.7,OpenAI GPT-5.6 launch table,FRESH,,,,,,,,,,1050000,OpenAI model documentation,FRESH,False,OpenAI model documentation,,,64.3,5
openai:gpt-5.6-terra,GPT-5.6 Terra,OpenAI,2026-07-09,OpenAI model documentation,2.0,OpenAI model documentation,FRESH,12.0,OpenAI model documentation,FRESH,55,OpenAI GPT-5.6 launch table,FRESH,50.4,OpenAI GPT-5.6 launch table,FRESH,,,,,,,,,,1050000,OpenAI model documentation,FRESH,False,OpenAI model documentation,,,64.3,5
openai:gpt-5.6-luna,GPT-5.6 Luna,OpenAI,2026-07-09,OpenAI model documentation,0.2,OpenAI model documentation,FRESH,1.2,OpenAI model documentation,FRESH,51.2,OpenAI GPT-5.6 launch table,FRESH,50.3,OpenAI GPT-5.6 launch table,FRESH,,,,,,,,,,1050000,OpenAI model documentation,FRESH,False,OpenAI model documentation,,,64.3,5
anthropic:claude-fable-5,Claude Fable 5,Anthropic,2026-06-09,Anthropic launch announcement,10.0,Anthropic launch pricing,FRESH,50.0,Anthropic launch pricing,FRESH,,,,,,,,,,,,,,,,1000000,Anthropic launch announcement,FRESH,False,Anthropic launch announcement,,,50.0,10
anthropic:claude-opus-5,Claude Opus 5,Anthropic,2026-07-24,Anthropic launch announcement,5.0,Anthropic launch pricing,FRESH,25.0,Anthropic launch pricing,FRESH,,,,,,,,,,,,,,,,1000000,Anthropic launch announcement,FRESH,False,Anthropic launch announcement,,,50.0,7
anthropic:claude-sonnet-5,Claude Sonnet 5,Anthropic,2026-06-30,Anthropic launch announcement,3.0,Anthropic launch pricing,FRESH,15.0,Anthropic launch pricing,FRESH,,,,,,,,,,,,,,,,1000000,Anthropic launch announcement,FRESH,False,Anthropic launch announcement,,,50.0,10
google:gemini-3.8-flash,Gemini 3.8 Flash,Google,2026-09-02,Google launch announcement,0.75,Gemini API pricing,FRESH,3.75,Gemini API pricing,FRESH,,,,,,,,,,,,,,,,1000000,Google launch announcement,FRESH,False,Google launch announcement,,,50.0,7
google:gemini-3.7-flash,Gemini 3.7 Flash,Google,2026-08-12,Gemini API model guide,0.75,Gemini API model guide,FRESH,3.75,Gemini API model guide,FRESH,,,,,,,,,,,,,,,,1000000,Gemini API model guide,FRESH,False,Gemini API model guide,,,50.0,7
google:gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,Google,2026-07-21,Google launch announcement,0.3,Gemini API pricing,FRESH,2.5,Gemini API pricing,FRESH,,,,,,,,,,,,,,,,1000000,Google launch announcement,FRESH,False,Google launch announcement,,,50.0,7
xai:grok-4.6,Grok 4.6,xAI,2026-08-12,xAI model documentation,2.0,xAI model pricing,FRESH,6.0,xAI model pricing,FRESH,,,,,,,,,,,,,,,,500000,xAI model documentation,FRESH,False,xAI model documentation,,,50.0,7
xai:grok-4.5,Grok 4.5,xAI,2026-07-08,xAI model documentation,2.0,xAI model pricing,FRESH,6.0,xAI model pricing,FRESH,,,,,,,,,,,,,,,,500000,xAI model documentation,FRESH,False,xAI model documentation,,,50.0,7
xai:grok-4.3,Grok 4.3,xAI,2026-05-15,xAI model documentation,1.25,xAI model pricing,FRESH,2.5,xAI model pricing,FRESH,,,,,,,,,,,,,,,,1000000,xAI model documentation,FRESH,False,xAI model documentation,,,50.0,7
openai:gpt-oss-120b,gpt-oss-120b,OpenAI,2025-08-05,gpt-oss-120b official model documentation,,,,,,,,,,,,,,,,,,,,,,131072,gpt-oss-120b official model documentation,FRESH,True,gpt-oss-120b official model documentation,120,gpt-oss-120b official model documentation,50.0,7
openai:gpt-oss-20b,gpt-oss-20b,OpenAI,2025-08-05,gpt-oss-20b official model documentation,,,,,,,,,,,,,,,,,,,,,,131072,gpt-oss-20b official model documentation,FRESH,True,gpt-oss-20b official model documentation,20,gpt-oss-20b official model documentation,50.0,7
openai:chatgpt-4o,ChatGPT-4o,OpenAI,2024-05-13,ChatGPT-4o official model documentation,,,,,,,,,,,,,,,,,,,,,,128000,ChatGPT-4o official model documentation,FRESH,False,ChatGPT-4o official model documentation,,,35.7,9
meta:llama-4-scout,Llama 4 Scout,Meta,2025-04-05,Llama 4 Scout official model documentation,,,,,,,,,,,,,,,,,,,,,,10000000,Llama 4 Scout official model documentation,FRESH,True,Llama 4 Scout official model documentation,109,Llama 4 Scout official model documentation,50.0,7
meta:llama-4-maverick,Llama 4 Maverick,Meta,2025-04-05,Llama 4 Maverick official model documentation,,,,,,,,,,,,,,,,,,,,,,,,,True,Llama 4 Maverick official model documentation,400,Llama 4 Maverick official model documentation,42.9,8
